date,temp,hum,percp,wspeed,pm10
2023-02-26 07:00:00,0.7,87.0,0.1,11.9,4.0
2023-02-26 08:00:00,1.5,73.0,0.0,17.3,6.0
2023-02-26 09:00:00,2.2,63.0,0.0,22.1,7.0
2023-02-26 10:00:00,3.3,52.0,0.0,21.6,10.0
2023-02-26 11:00:00,4.1,46.0,0.0,22.6,6.0
2023-02-26 12:00:00,4.4,44.0,0.0,23.7,8.0
2023-02-26 13:00:00,4.3,44.0,0.0,24.9,11.0
2023-02-26 14:00:00,4.1,44.0,0.0,25.3,14.0
2023-02-26 15:00:00,3.7,46.0,0.0,22.3,14.0
2023-02-26 16:00:00,3.3,47.0,0.1,19.7,10.0
2023-02-26 17:00:00,2.8,49.0,0.1,19.3,10.0
2023-02-26 18:00:00,2.2,53.0,0.1,18.4,8.0
2023-02-26 19:00:00,1.3,64.0,0.1,18.4,8.0
2023-02-26 20:00:00,1.1,63.0,0.1,18.8,7.0
2023-02-26 21:00:00,0.8,62.0,0.1,18.4,6.0
2023-02-26 22:00:00,0.5,61.0,0.0,14.5,5.0
2023-02-26 23:00:00,0.3,60.0,0.0,15.5,4.0
2023-02-27 00:00:00,0.1,60.0,0.0,15.3,4.0
2023-02-27 01:00:00,-0.0,61.0,0.0,15.9,4.0
2023-02-27 02:00:00,-0.2,62.0,0.0,15.5,4.0
2023-02-27 03:00:00,-0.4,62.0,0.0,16.2,5.0
2023-02-27 04:00:00,-0.5,62.0,0.0,15.1,4.0
2023-02-27 05:00:00,-0.7,62.0,0.0,14.6,7.0
2023-02-27 06:00:00,-0.6,62.0,0.0,14.2,13.0
2023-02-27 07:00:00,0.0,61.0,0.0,14.5,13.0
2023-02-27 08:00:00,0.5,58.0,0.0,19.2,19.0
2023-02-27 09:00:00,1.2,54.0,0.0,17.4,20.0
2023-02-27 10:00:00,1.8,50.0,0.0,16.1,21.0
2023-02-27 11:00:00,2.7,46.0,0.0,14.8,20.0
2023-02-27 12:00:00,3.2,45.0,0.0,14.5,14.0
2023-02-27 13:00:00,3.4,44.0,0.0,15.3,16.0
2023-02-27 14:00:00,3.3,45.0,0.0,15.3,16.0
2023-02-27 15:00:00,2.8,47.0,0.0,15.0,19.0
2023-02-27 16:00:00,2.2,50.0,0.0,12.0,21.0
2023-02-27 17:00:00,1.7,52.0,0.0,9.0,24.0
2023-02-27 18:00:00,1.3,55.0,0.0,7.9,23.0
2023-02-27 19:00:00,0.7,64.0,0.1,7.2,19.0
2023-02-27 20:00:00,0.3,68.0,0.2,7.7,19.0
2023-02-27 21:00:00,0.1,71.0,0.1,7.6,15.0
2023-02-27 22:00:00,0.0,72.0,0.1,5.6,17.0
2023-02-27 23:00:00,-0.2,74.0,0.0,6.9,17.0
2023-02-28 00:00:00,-0.7,79.0,0.0,4.9,17.0
2023-02-28 01:00:00,-0.8,78.0,0.0,4.8,17.0
2023-02-28 02:00:00,-0.8,77.0,0.0,5.0,17.0
2023-02-28 03:00:00,-0.7,77.0,0.0,5.1,14.0
2023-02-28 04:00:00,-0.6,77.0,0.0,5.4,14.0
2023-02-28 05:00:00,-0.8,78.0,0.0,5.4,15.0
2023-02-28 06:00:00,-1.1,83.0,0.0,4.8,17.0
2023-02-28 07:00:00,-0.3,79.0,0.0,4.8,17.0
2023-02-28 08:00:00,0.3,77.0,0.0,5.5,19.0
2023-02-28 09:00:00,1.2,72.0,0.0,6.3,21.0
2023-02-28 10:00:00,2.0,65.0,0.0,6.6,22.0
2023-02-28 11:00:00,2.7,62.0,0.0,6.8,27.0
2023-02-28 12:00:00,3.1,61.0,0.0,7.0,24.0
2023-02-28 13:00:00,3.4,60.0,0.0,7.6,24.0
2023-02-28 14:00:00,3.5,60.0,0.0,8.0,26.0
2023-02-28 15:00:00,3.4,60.0,0.0,8.7,24.0
2023-02-28 16:00:00,3.1,61.0,0.0,9.0,26.0
2023-02-28 17:00:00,2.5,65.0,0.0,7.1,27.0
2023-02-28 18:00:00,2.3,67.0,0.0,6.6,31.0
2023-02-28 19:00:00,1.9,74.0,0.0,5.8,36.0
2023-02-28 20:00:00,1.7,74.0,0.0,5.9,34.0
2023-02-28 21:00:00,1.7,72.0,0.0,6.5,31.0
2023-02-28 22:00:00,1.4,76.0,0.0,5.7,27.0
2023-02-28 23:00:00,1.2,76.0,0.0,6.6,25.0
2023-03-01 00:00:00,1.0,76.0,0.0,6.6,26.0
2023-03-01 01:00:00,0.9,76.0,0.0,8.0,22.0
2023-03-01 02:00:00,0.9,75.0,0.0,8.1,22.0
2023-03-01 03:00:00,0.9,74.0,0.0,8.8,21.0
2023-03-01 04:00:00,0.9,73.0,0.0,9.1,17.0
2023-03-01 05:00:00,0.8,74.0,0.0,8.4,19.0
2023-03-01 06:00:00,0.9,73.0,0.0,8.9,23.0
2023-03-01 07:00:00,1.2,74.0,0.1,8.8,23.0
2023-03-01 08:00:00,1.3,74.0,0.2,10.6,26.0
2023-03-01 09:00:00,1.7,75.0,0.2,11.7,24.0
2023-03-01 10:00:00,2.1,76.0,0.2,11.3,32.0
2023-03-01 11:00:00,2.7,77.0,0.1,10.5,36.0
2023-03-01 12:00:00,3.2,77.0,0.1,11.6,31.0
2023-03-01 13:00:00,3.2,80.0,0.1,12.0,28.0
2023-03-01 14:00:00,3.4,81.0,0.1,13.7,26.0
2023-03-01 15:00:00,3.2,86.0,0.1,12.6,28.0
2023-03-01 16:00:00,3.3,87.0,0.1,12.3,27.0
2023-03-01 17:00:00,3.1,89.0,0.1,12.3,27.0
2023-03-01 18:00:00,2.6,97.0,0.1,12.0,27.0
2023-03-01 19:00:00,2.4,98.0,0.1,10.5,26.0
2023-03-01 20:00:00,2.4,98.0,0.1,8.7,23.0
2023-03-01 21:00:00,2.2,98.0,0.2,9.0,21.0
2023-03-01 22:00:00,2.3,98.0,0.3,9.4,20.0
2023-03-01 23:00:00,2.3,98.0,0.3,9.7,21.0
2023-03-02 00:00:00,2.9,91.0,0.3,9.4,11.0
2023-03-02 01:00:00,2.4,98.0,0.3,8.6,8.0
2023-03-02 02:00:00,2.5,98.0,0.3,8.7,8.0
2023-03-02 03:00:00,2.5,98.0,0.3,8.8,7.0
2023-03-02 04:00:00,2.5,98.0,0.3,8.4,9.0
2023-03-02 05:00:00,2.4,98.0,0.3,8.0,8.0
2023-03-02 06:00:00,2.4,98.0,0.3,7.9,10.0
2023-03-02 07:00:00,2.9,98.0,0.0,8.3,9.0
2023-03-02 08:00:00,4.5,89.0,0.0,8.8,11.0
2023-03-02 09:00:00,5.5,78.0,0.0,10.4,13.0
2023-03-02 10:00:00,6.3,70.0,0.0,9.3,26.399352838074694
2023-03-02 11:00:00,6.8,64.0,0.0,8.1,17.0
2023-03-02 12:00:00,7.2,61.0,0.0,8.7,24.0
2023-03-02 13:00:00,7.4,60.0,0.0,8.3,27.0
2023-03-02 14:00:00,7.7,59.0,0.0,7.1,28.0
2023-03-02 15:00:00,7.6,61.0,0.0,6.1,30.0
2023-03-02 16:00:00,7.0,65.0,0.0,4.1,30.0
2023-03-02 17:00:00,6.3,72.0,0.0,4.3,29.0
2023-03-02 18:00:00,5.7,79.0,0.0,4.3,26.0
2023-03-02 19:00:00,4.7,79.0,0.3,4.7,30.0
2023-03-02 20:00:00,4.4,81.0,0.3,4.0,26.0
2023-03-02 21:00:00,3.2,88.0,0.2,2.3,22.0
2023-03-02 22:00:00,2.3,92.0,0.2,3.7,21.0
2023-03-02 23:00:00,1.0,98.0,0.1,2.7,21.0
2023-03-03 00:00:00,1.2,94.0,0.1,2.5,23.0
2023-03-03 01:00:00,1.0,99.0,0.2,2.7,19.0
2023-03-03 02:00:00,0.8,99.0,0.2,3.3,22.0
2023-03-03 03:00:00,0.3,99.0,0.1,3.4,17.0
2023-03-03 04:00:00,0.4,99.0,0.2,1.4,16.0
2023-03-03 05:00:00,0.5,99.0,0.1,1.9,18.0
2023-03-03 06:00:00,1.0,99.0,0.2,3.6,19.0
2023-03-03 07:00:00,2.4,99.0,0.2,3.9,19.0
2023-03-03 08:00:00,4.0,98.0,0.1,3.6,21.0
2023-03-03 09:00:00,4.8,90.0,0.1,4.7,20.0
2023-03-03 10:00:00,6.6,80.0,0.1,3.6,18.0
2023-03-03 11:00:00,7.4,76.0,0.1,3.7,20.0
2023-03-03 12:00:00,8.1,71.0,0.0,3.1,28.0
2023-03-03 13:00:00,8.4,68.0,0.0,4.1,30.0
2023-03-03 14:00:00,8.7,66.0,0.0,3.4,43.0
2023-03-03 15:00:00,8.6,66.0,0.0,2.5,47.0
2023-03-03 16:00:00,8.1,71.0,0.0,4.0,46.0
2023-03-03 17:00:00,6.8,79.0,0.0,6.6,40.0
2023-03-03 18:00:00,5.3,85.0,0.0,7.0,31.0
2023-03-03 19:00:00,3.9,91.0,0.0,5.9,28.0
2023-03-03 20:00:00,2.8,94.0,0.0,5.5,27.0
2023-03-03 21:00:00,2.1,95.0,0.0,6.0,26.0
2023-03-03 22:00:00,1.6,96.0,0.0,5.4,28.0
2023-03-03 23:00:00,1.2,96.0,0.0,5.5,25.0
2023-03-04 00:00:00,0.4,96.0,0.0,5.2,22.0
2023-03-04 01:00:00,0.7,94.0,0.0,5.5,22.0
2023-03-04 02:00:00,0.3,94.0,0.0,5.4,21.0
2023-03-04 03:00:00,0.0,94.0,0.0,3.4,20.0
